block_name,area_name,activity,method,pesticide,lead_agency,start_date,finish_date,lat,lon,region
HakarimataEnhancement_25-26_Ratabate#121,HakarimataEnhancement_25-26_Area,,Bait stations,Diphacinone,Shared (detail in comments),1751328000000,1782777600000,-37.679768429508606,175.12845050734103,Waikato
HakatrimataEnhancement_25-26_Pestoff#122,HakarimataEnhancement_25-26_Area,,Bait stations,Diphacinone,Shared (detail in comments),1751328000000,1782777600000,-37.679768429508606,175.12845050734103,Waikato
Hawdon Core D+C 2023,OFK Bait Stations,,Bait stations,Diphacinone + Cholecalciferol,DOC,1748563200000,1777507200000,-42.94955635155235,171.74206839162588,West Coast
Hawdon Front Faces D+C,OFK Bait Stations,,Bait stations,Diphacinone + Cholecalciferol,DOC,1748563200000,1777507200000,-42.98934120163546,171.72294734393677,West Coast
HCC Otematata Feratox Possum Control,HCC Otematata Possum Control,,Bait bags,Cyanide,TB Free,1751241600000,1783555200000,-44.69038226413449,170.24830956295148,Otago
HCC Otematata Possum Control Additional Area,HCC Otematata Possum Control,,Bait bags,Cyanide,TB Free,1757376000000,1783555200000,-44.606522626907406,169.8020394052115,Otago
HCC Otematata Possum Control Additional Area Bait Stations,HCC Otematata Possum Control,,Bait stations,Cyanide,TB Free,1757376000000,1783555200000,-44.606522626907406,169.8020394052115,Otago
HCC Otematata Possum Control Additional Area Cyanide paste,HCC Otematata Possum Control,,Handlaying,Cyanide,TB Free,1757376000000,1783555200000,-44.606522626907406,169.8020394052115,Otago
HCC Otematata Possum Control Cyanide Paste,HCC Otematata Possum Control,,Handlaying,Cyanide,TB Free,1751241600000,1783555200000,-44.69038226413449,170.24830956295148,Otago
HCC Otematata Possum Control feratox Baitstations,HCC Otematata Possum Control,,Bait stations,Cyanide,TB Free,1751241600000,1783555200000,-44.69038226413449,170.24830956295148,Otago
Hemi Matenga Memorial Scenic Reserve,Kapiti Coast Large Reserves,,Bait stations,Cholecalciferol,DOC,1762214400000,1764806400000,-40.870764269697126,175.0862921071263,Wellington
Hihitahi Aerial 1080,Hihitahi Aerial 1080,,Aerial,Sodium fluoroacetate,DOC,1750723200000,1750723200000,-39.54910656062021,175.75017134044873,Wellington
Himatangi and barbers pestoff 50D 24-26,Horowhenua Pest Control 2023-2026,,Bait stations,Diphacinone,DOC,1725840000000,1782777600000,-40.433491491196655,175.3766388587747,Wellington
Himatangi Barbers Feratox 2025-2026,Horowhenua Pest Control 2023-2026,,Bait bags,Cyanide,DOC,1756857600000,1782777600000,-40.433491491196655,175.3766388587747,Wellington
Hollyford 2025,Hollyford 2025,,Aerial,Sodium fluoroacetate,DOC,1765497600000,1778544000000,-44.665779068668364,168.071380035873,Otago
Hunua Ranges Aerial,Hunua Ranges Aerial,,Aerial,Sodium fluoroacetate,Council,1761782400000,1782777600000,-37.16078970992777,175.16701448891317,Auckland
Hunua Ranges Aerial - Block 1,Hunua Ranges Aerial,,Aerial,Sodium fluoroacetate,Council,1760659200000,1782777600000,-37.159433856286,175.17029266035362,Auckland
Hunua Ranges Aerial - Block 2,Hunua Ranges Aerial,,Aerial,Sodium fluoroacetate,Council,1761782400000,1782777600000,-37.04380191300273,175.18215811653081,Auckland
Kaiata 1080,Kaiata 2026,,Handlaying,Sodium fluoroacetate,TB Free,1769990400000,1778803200000,-42.49021721860144,171.23868061829103,West Coast
Kaiata Cyanide baitstation Cyanara50,Kaiata 2026,,Bait stations,Cyanide,TB Free,1769990400000,1778803200000,-42.49021721860144,171.23868061829103,West Coast
Kaiata cyanide baitstation trappers,Kaiata 2026,,Bait stations,Cyanide,TB Free,1769990400000,1778803200000,-42.49021721860144,171.23868061829103,West Coast
Kaikoura TMA 2023,Kaikoura TMA 2023,,Bait bags,Cyanide,TB Free,1675209600000,1814313600000,-42.20106055358449,173.82658165771778,Nelson Marlborough
Kaitake Flats Ground Control,Kaitake Flats Ground Control,,Bait stations,Pindone,DOC,1760832000000,1763510400000,-39.18299015879146,173.97703746436633,Unknown
