title,organisation,lat,lon,region
Project Rameka,Rameka Forest Restoration Charitable Trust,-40.9104,172.8545,Nelson Marlborough
Steve's Playstation,Steve Anderson,-41.2052,172.9007,Nelson Marlborough
Pauatahanui Wildlife Reserve ,Pauatahanui Reserve Committee,-41.1016,174.914,Wellington
Old Ghost Road Predator Control,Mokihinui Lyell Backcountry Trust,-41.6405,172.1296,Unknown
Robertson,,-46.4461,168.2803,Otago
McInnes Traps,,-35.6106,174.4594,Northland
Motukiekie Shakedown,Motukiekie Wilderness Trust,-42.326,171.2848,West Coast
Jollies Bush (Retired),Sumner Pest Control Group,-43.587,172.7387,Canterbury
Mahoe-Nui Lower,Sumner Pest Control Group,-43.5937,172.7453,Canterbury
Otapahi,YEPT,-45.874,170.7108,Otago
Otangaroa Conservation Area,Otangaroa Conservation Group,-35.1187,173.5867,Northland
Mahoe-Nui Upper ,Sumner Pest Control Group,-43.5932,172.7409,Canterbury
Whakaangi Landcare Trust,,-34.9479,173.5513,Northland
Dominion Stream,,-41.2509,173.0692,Nelson Marlborough
Birdwood Rat Trapping,,-41.2889,174.7527,Wellington
Tanera Gully Restoration Project,Tanera Gully Restoration Project,-41.2988,174.7652,Wellington
Okia Reserve ,Yellow-eyed Penguin Trust,-45.8309,170.7256,Otago
Waihowaka Green,Community group,-39.0203,174.1509,Unknown
Kelvin Peninsula,Kelvin Peninsula Community Association,-45.046,168.7083,Otago
Predator Free Ngaio,Predator Free Ngaio,-41.2485,174.773,Wellington
Okarito Lagoon protection,Okarito Community Association,-43.1942,170.2129,West Coast
Mangaiti Pest Eradication ,Mangaiti Gully Restoration Trust,-37.7373,175.2824,Waikato
Pest Control in the Mangemangeroa Valley,Friends of Mangemangeroa,-36.9313,174.9479,Auckland
Karioi Project - Backyard Hub - Whāingaroa,Karioi Project,-37.8602,174.9001,Waikato
Quarantine island ,Quarantine Island Kamau Taurua Community (Inc),-45.8284,170.6332,Otago
33 Te Henga,,-36.8732,174.5327,Auckland
Kaikohe Pest Control,Mid North Kiwi Coast,-35.3877,173.7941,Northland
Ngawha Pest Control,Mid North Alliance,-35.4142,173.8372,Northland
Kinloch Pest Control,Kinloch Community Association,-38.6548,175.9247,Waikato
Possums in the Craigieburns,Darfield High School,-43.1501,171.7091,West Coast
Pest control ,Rukuwai Farm Ltd,-35.7404,174.4834,Northland
Rotokare Halo,Rotokare Scenic Reserve Trust,-39.4529,174.4227,Unknown
Whananaki Landcare,Whananaki Landcare,-35.5109,174.4203,Northland
"Bring on the Birds, Gore Bay",Gore Bay and Port Robinson Ratepayers Association Inc.,-42.8707,173.2917,Unknown
Owhango Alive,Owhango Alive,-38.998,175.3887,Unknown
"Boggy Pond, Wairarapa Moana",Wairarapa Moana Wetlands Project,-41.2521,175.2608,Wellington
"Onoke Spit, Wairarapa Moana",Friends of Onoke Spit / DOC / Wairarapa Moana Wetlands Project,-41.3872,175.1122,Wellington
"Pounui Lagoon, Wairarapa Moana",Wairarapa Moana Wetlands Project,-41.3631,175.1271,Wellington
Russell Kiwi Protection,Russell Landcare,-35.2816,174.1532,Northland
Mt Victoria Vermin Trappers,Mount Victoria Vermin Trappers (informal community group).,-41.3024,174.7904,Wellington
