key,species,genus,family,order,vernacularName,decimalLatitude,decimalLongitude,stateProvince,locality,year,month,day,individualCount,occurrenceStatus,datasetName,recordedBy,basisOfRecord
5938154838,Chroicocephalus bulleri,Chroicocephalus,Laridae,Charadriiformes,Black-billed Gull,-45.032978,168.66043,Otago,,2026,1,5,,PRESENT,iNaturalist research-grade observations,frujulia,HUMAN_OBSERVATION
5938155345,Gallus gallus,Gallus,Phasianidae,Galliformes,Bonmurag,-41.11371,172.99565,Nelson,,2026,1,2,,PRESENT,iNaturalist research-grade observations,harrylurling,HUMAN_OBSERVATION
5938155807,Anthornis melanura,Anthornis,Meliphagidae,Passeriformes,Bellbird,-43.485588,172.697788,Canterbury,,2026,1,4,,PRESENT,iNaturalist research-grade observations,William Harland,HUMAN_OBSERVATION
5938155841,Phalacrocorax varius,Phalacrocorax,Phalacrocoracidae,Suliformes,Australian Pied Cormorant,-36.866628,174.723463,Auckland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,blackbird17,HUMAN_OBSERVATION
5938156612,Larus dominicanus,Larus,Laridae,Charadriiformes,Dominican gull,-36.016503,174.497344,Northland,,2026,1,1,,PRESENT,iNaturalist research-grade observations,Joseph Knight,HUMAN_OBSERVATION
5938156724,Prosthemadera novaeseelandiae,Prosthemadera,Meliphagidae,Passeriformes,Tui,-37.603622,175.798325,Waikato,,2026,1,4,,PRESENT,iNaturalist research-grade observations,stephen-ao,HUMAN_OBSERVATION
5938156855,Mohoua albicilla,Mohoua,Acanthizidae,Passeriformes,Whitehead,-36.607983,174.893417,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,kateboersma,HUMAN_OBSERVATION
5938157247,Phasianus colchicus,Phasianus,Phasianidae,Galliformes,Common Pheasant,-39.415025,176.869502,Hawke's Bay,,2026,1,5,,PRESENT,iNaturalist research-grade observations,greghadley1,HUMAN_OBSERVATION
5938159897,Chroicocephalus novaehollandiae,Chroicocephalus,Laridae,Charadriiformes,Silver Gull,-36.779579,174.992081,Auckland,,2026,1,1,,PRESENT,iNaturalist research-grade observations,Stevia,HUMAN_OBSERVATION
5938159931,Anthornis melanura,Anthornis,Meliphagidae,Passeriformes,Bellbird,-39.053161,177.839338,Hawke's Bay,,2026,1,1,,PRESENT,iNaturalist research-grade observations,benmayson,HUMAN_OBSERVATION
5938160470,Puffinus tenuirostris,Puffinus,Procellariidae,Procellariiformes,Short-Tailed Shearwater,-36.011908,174.494139,Northland,,2026,1,1,,PRESENT,iNaturalist research-grade observations,Joseph Knight,HUMAN_OBSERVATION
5938162612,Morus serrator,Morus,Sulidae,Suliformes,Australasian Gannet,-36.833314,174.425175,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Vish,HUMAN_OBSERVATION
5938162894,Himantopus leucocephalus,Himantopus,Recurvirostridae,Charadriiformes,Pied Stilt,-36.869085,174.884062,Auckland,,2026,1,1,,PRESENT,iNaturalist research-grade observations,wild-fire,HUMAN_OBSERVATION
5938162964,Gymnorhina tibicen,Gymnorhina,Cracticidae,Passeriformes,Australian Magpie,-40.425352,175.47184,Manawatu-Wanganui,,2026,1,3,,PRESENT,iNaturalist research-grade observations,AntHillNZ,HUMAN_OBSERVATION
5938163300,Anthornis melanura,Anthornis,Meliphagidae,Passeriformes,Bellbird,-36.60542,174.888962,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,kateboersma,HUMAN_OBSERVATION
5938164934,Chlidonias leucopterus,Chlidonias,Laridae,Charadriiformes,Baltsparnu zirinš,-43.868251,172.300863,Canterbury,,2026,1,4,,PRESENT,iNaturalist research-grade observations,iancoull,HUMAN_OBSERVATION
5938165219,Chroicocephalus novaehollandiae,Chroicocephalus,Laridae,Charadriiformes,Silver Gull,-41.8451,174.183153,Marlborough,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Squirrellychops,HUMAN_OBSERVATION
5938166426,Gymnorhina tibicen,Gymnorhina,Cracticidae,Passeriformes,Australian Magpie,-36.802639,174.789315,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,SWALLOW,HUMAN_OBSERVATION
5938166572,Cygnus atratus,Cygnus,Anatidae,Anseriformes,Black Swan,-40.915799,174.984947,Wellington,,2026,1,1,,PRESENT,iNaturalist research-grade observations,Archer Lamason,HUMAN_OBSERVATION
5938167091,Anthornis melanura,Anthornis,Meliphagidae,Passeriformes,Bellbird,-40.920971,175.480252,Wellington,,2026,1,4,,PRESENT,iNaturalist research-grade observations,Celia Wade-Brown,HUMAN_OBSERVATION
5938168930,Turdus philomelos,Turdus,Turdidae,Passeriformes,(drozd) śpiewak,-36.948924,174.962838,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Scott,HUMAN_OBSERVATION
5938169010,Anthornis melanura,Anthornis,Meliphagidae,Passeriformes,Bellbird,-36.606708,174.891892,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,kateboersma,HUMAN_OBSERVATION
5938169168,Chroicocephalus novaehollandiae,Chroicocephalus,Laridae,Charadriiformes,Silver Gull,-37.632977,176.166912,Bay of Plenty,,2026,1,3,,PRESENT,iNaturalist research-grade observations,leafedsheep,HUMAN_OBSERVATION
5938172501,Cairina moschata,Cairina,Anatidae,Anseriformes,Muscovy Duck,-35.217637,173.962708,Northland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,Alice Parminter,HUMAN_OBSERVATION
5938172671,Rhipidura fuliginosa,Rhipidura,Rhipiduridae,Passeriformes,New Zealand Fantail,-37.605287,175.810824,Waikato,,2026,1,4,,PRESENT,iNaturalist research-grade observations,stephen-ao,HUMAN_OBSERVATION
5938172677,Vanellus miles,Vanellus,Charadriidae,Charadriiformes,Masked Lapwing,-36.861995,174.777922,Auckland,,2026,1,4,,PRESENT,iNaturalist research-grade observations,suzieqnature,HUMAN_OBSERVATION
5938172871,Porphyrio melanotus,Porphyrio,Rallidae,Gruiformes,Australasian Swamphen,-36.770707,174.740891,Auckland,,2026,1,3,,PRESENT,iNaturalist research-grade observations,SWALLOW,HUMAN_OBSERVATION
5938173071,Prosthemadera novaeseelandiae,Prosthemadera,Meliphagidae,Passeriformes,Tui,-38.131091,176.253935,Bay of Plenty,,2026,1,4,,PRESENT,iNaturalist research-grade observations,greenbead,HUMAN_OBSERVATION
5938173546,Zosterops lateralis,Zosterops,Zosteropidae,Passeriformes,Silver-eye,-41.820092,172.875818,Nelson,,2026,1,5,,PRESENT,iNaturalist research-grade observations,rustling_leaves,HUMAN_OBSERVATION
